Job Role,Company,Experience Level,Location,Skills,Job Type,Work Mode,Salary Range,Job Posting Date,Min Salary (LPA),Max Salary (LPA)
Junior Data Analyst,Day And Sons,Mid Level,Remote,"sql, powerbi, google cloud",Internship,Hybrid,11-32 LPA,2025-06-26,11.0,32.0
Junior Data Analyst,Thomas Inc,Internship,Bangalore,"python, machine learning, powerbi",Full-Time,Remote,11-25 LPA,2024-11-29,11.0,25.0
Senior Data Analyst,"Gibson, Davidson And Turner",Internship,New Delhi,"machine learning, python, tableau, google colab, sql, powerbi",Internship,On-Site,12-31 LPA,2025-07-07,12.0,31.0
Data Analytics Specialist,Taylor-Wilson,Entry Level,New Delhi,"powerbi, powerbi, python, powerbi, r",Full-Time,Hybrid,14-26 LPA,2024-11-13,14.0,26.0
Senior Data Analyst,Larsen Llc,Entry Level,Hyderabad,"powerbi, google cloud, powerbi, excel, sql, tableau",Contract,Remote,12-20 LPA,2025-05-03,12.0,20.0
Data Analytics Specialist,Macdonald-Montes,Entry Level,New Delhi,"powerbi, google colab, google cloud, tableau, machine learning, powerbi",Full-Time,On-Site,3-20 LPA,2025-03-02,3.0,20.0
Senior Data Analyst,"Cooper, Barrett And Harper",Internship,Pune,"tableau, google cloud, powerbi, google colab, excel",Internship,Hybrid,11-30 LPA,2025-06-10,11.0,30.0
Junior Data Analyst,Miller Plc,Mid Level,Pune,"r, powerbi, sql, machine learning, powerbi",Contract,On-Site,12-21 LPA,2024-12-05,12.0,21.0
Data Analytics Specialist,"Quinn, West And Avila",Mid Level,New Delhi,"google colab, google cloud, sql, excel, tableau",Internship,Hybrid,14-30 LPA,2025-08-25,14.0,30.0
Data Analytics Specialist,Rivers Llc,Senior Level,Remote,"powerbi, python, powerbi, powerbi, machine learning, sql",Internship,Hybrid,6-25 LPA,2024-11-12,6.0,25.0
Junior Data Analyst,"Wise, Khan And Reyes",Entry Level,Chennai,"google colab, powerbi, powerbi, tableau, google cloud, r",Full-Time,On-Site,12-29 LPA,2025-01-29,12.0,29.0
Senior Data Analyst,Charles Llc,Entry Level,Pune,"sql, tableau, google cloud, machine learning, powerbi",Full-Time,On-Site,9-32 LPA,2025-03-19,9.0,32.0
Data Analytics Specialist,Wood-Allen,Mid Level,New Delhi,"powerbi, powerbi, r, google cloud, google colab",Full-Time,Remote,4-19 LPA,2025-07-02,4.0,19.0
Data Analyst,"Tate, Wright And Nash",Mid Level,Pune,"excel, sql, machine learning",Contract,Remote,9-17 LPA,2024-09-12,9.0,17.0
Junior Data Analyst,Garcia-Gomez,Mid Level,Mumbai,"tableau, excel, sql",Full-Time,Hybrid,12-17 LPA,2025-03-05,12.0,17.0
Data Analyst,Cook Plc,Senior Level,Remote,"tableau, r, powerbi, machine learning",Internship,On-Site,14-19 LPA,2024-12-11,14.0,19.0
Senior Data Analyst,Johnson Plc,Internship,Chennai,"google colab, tableau, powerbi, google cloud, python, sql",Contract,Remote,12-22 LPA,2024-09-21,12.0,22.0
